unit,ring,lon,lat
Burgenland,1,15.99728683766434,46.83575189263528
Burgenland,1,16.014586929659945,46.83623734244212
Burgenland,1,16.03344700228367,46.83304976866632
Burgenland,1,16.052276054620023,46.83759693756869
Burgenland,1,16.066698041939137,46.850228052445864
Burgenland,1,16.097101017838465,46.864433666916376
Burgenland,1,16.119792880376707,46.872266323495786
Burgenland,1,16.14627004275816,46.88644009235571
Burgenland,1,16.159561126733166,46.897640615472106
Burgenland,1,16.180304438920547,46.9069977948212
Burgenland,1,16.20098906944342,46.94215436405644
Burgenland,1,16.21111924585703,46.9428580676271
Burgenland,1,16.218680137031374,46.94123396625963
Burgenland,1,16.230187718784002,46.941689956330336
Burgenland,1,16.238720924149206,46.94729470896666
Burgenland,1,16.243867312581603,46.956354198974566
Burgenland,1,16.270419955644357,46.96155217064943
Burgenland,1,16.282986058218583,46.999685550600525
Burgenland,1,16.299714275006014,47.009866525568015
Burgenland,1,16.342856986340205,46.99652453107978
Burgenland,1,16.360742258777556,47.00591940579719
Burgenland,1,16.3775406056335,47.000479929004264
Burgenland,1,16.418162324641838,47.00174826275439
Burgenland,1,16.446602658854378,46.99356422045267
Burgenland,1,16.460311129902273,47.000945957546826
Burgenland,1,16.474968636729816,46.99774223225126
Burgenland,1,16.498143144865494,46.998555964037976
Burgenland,1,16.507148993957856,47.0019374450486
Burgenland,1,16.50980914373715,47.00396741048943
Burgenland,1,16.48331542392934,47.02303185702594
Burgenland,1,16.464763548969355,47.03260782165424
Burgenland,1,16.44130935904544,47.03626352962092
Burgenland,1,16.469805784994154,47.043612806606895
Burgenland,1,16.49891447973729,47.048842718011
Burgenland,1,16.521614027676065,47.06190577394596
Burgenland,1,16.483877412605313,47.07242554920386
Burgenland,1,16.4758649920196,47.08568653143308
Burgenland,1,16.464465697988487,47.09533372904405
Burgenland,1,16.472861501712636,47.10242922448298
Burgenland,1,16.484016322365584,47.109130703394534
Burgenland,1,16.529925685216032,47.13768947130151
Burgenland,1,16.49160773864264,47.14923754783979
Burgenland,1,16.450967175681765,47.1459107612176
Burgenland,1,16.4593757267439,47.15762478014218
Burgenland,1,16.46176361578784,47.16723804496144
Burgenland,1,16.454234689470177,47.18664318623225
Burgenland,1,16.43040725494303,47.1850556794534
Burgenland,1,16.420082281247982,47.211004336914954
Burgenland,1,16.437734887834406,47.210327697961866
Burgenland,1,16.439302208025396,47.230281430624224
Burgenland,1,16.442914486708418,47.24898524088854
Burgenland,1,16.44771927065527,47.2537549646483
Burgenland,1,16.48109439443657,47.26295967034609
Burgenland,1,16.484846112983256,47.278256899274574
Burgenland,1,16.47594604758676,47.31254008377124
Burgenland,1,16.465687333352307,47.33425245207181
Burgenland,1,16.43486697802618,47.35322797917677
Burgenland,1,16.452316527779608,47.361476901010306
Burgenland,1,16.4525660064799,47.38012306103299
Burgenland,1,16.450645317936708,47.395089792333934
Burgenland,1,16.475697018547766,47.40940759911635
Burgenland,1,16.486221492329204,47.40266592529967
Burgenland,1,16.48998136372706,47.39489175517904
Burgenland,1,16.511130807961777,47.396930871916965
Burgenland,1,16.51807211307312,47.41099701754088
Burgenland,1,16.53673257895448,47.40951274070817
Burgenland,1,16.57691868354604,47.40676173648501
Burgenland,1,16.583905915274855,47.41718212379266
Burgenland,1,16.58965405995952,47.42120543645126
Burgenland,1,16.597989221290625,47.423064401800346
Burgenland,1,16.612982569888942,47.43203196533579
Burgenland,1,16.62871912892436,47.44250868441804
Burgenland,1,16.650288271056496,47.45171310373322
Burgenland,1,16.66936751491797,47.4796859060688
Burgenland,1,16.670132468780537,47.503951392911034
Burgenland,1,16.70437140875114,47.53363992681207
Burgenland,1,16.70533392874221,47.54615535221413
Burgenland,1,16.690090472317667,47.55990274880676
Burgenland,1,16.664341921687775,47.569118809039175
Burgenland,1,16.676295265063285,47.58293003593803
Burgenland,1,16.660737174941104,47.606527669655826
