unit,ring,lon,lat
Austria,1,10.454786786565226,47.55640583665215
Austria,1,10.473521282876352,47.57070100978728
Austria,1,10.48237180220646,47.58509621849404
Austria,1,10.47002916018243,47.58774162291672
Austria,1,10.433300274243205,47.58218734279938
Austria,1,10.433926475986611,47.57337854194141
Austria,1,10.43664070194397,47.568306482095366
Austria,1,10.454786786565226,47.55640583665215
Austria,2,10.454786786565226,47.55640583665215
Austria,2,10.442500430322852,47.519394051345095
Austria,2,10.442843810016816,47.485299603378294
Austria,2,10.457872865599008,47.48317169332029
Austria,2,10.468324453524742,47.47770999215866
Austria,2,10.465809695255256,47.464469578237036
Austria,2,10.4706555171433,47.449051154192645
Austria,2,10.472360387323901,47.441348884379764
Austria,2,10.471602001990622,47.43251209556577
Austria,2,10.456533429531289,47.41981089542996
Austria,2,10.436498048342791,47.41159833535599
Austria,2,10.434671468816218,47.40057809663365
Austria,2,10.437102977941802,47.38095220117576
Austria,2,10.417000923677582,47.38064749280292
Austria,2,10.395101029896633,47.37621298206755
Austria,2,10.386007554742871,47.362378253904936
Austria,2,10.377844829242495,47.35310103491236
Austria,2,10.356977800648759,47.33397766855456
Austria,2,10.348955874286284,47.317836781796444
Austria,2,10.339690917388369,47.311120418414525
Austria,2,10.324114326867981,47.306223872223335
Austria,2,10.295974379969275,47.30048942553109
Austria,2,10.28197877318176,47.28831695293025
Austria,2,10.261829609120127,47.28484819773148
Austria,2,10.245894921941723,47.2809653865645
Austria,2,10.222743451463337,47.276419989276334
Austria,2,10.195320759186286,47.273709874179524
Austria,2,10.175500857045694,47.276352248179684
Austria,2,10.175174622891396,47.28984035428131
Austria,2,10.189968262287003,47.29453776633118
Austria,2,10.211067886839738,47.30687796236181
Austria,2,10.211418606602516,47.31960002711618
Austria,2,10.207920317493612,47.33554699438183
Austria,2,10.217301340728456,47.35494830492006
Austria,2,10.237479498061504,47.37415978506662
Austria,2,10.227386234299823,47.389517470124936
Austria,2,10.208607413295475,47.38355748296417
Austria,2,10.187565889668285,47.39058248271548
Austria,2,10.176845434423916,47.38586313055124
Austria,2,10.166182325961131,47.369470813586624
Austria,2,10.100137537840299,47.35535651881757
Austria,2,10.081966818991402,47.40198791696654
Austria,2,10.069434555346517,47.410757751517586
Austria,2,10.085745790572684,47.41511990757145
Austria,2,10.096166028150604,47.42280450039275
Austria,2,10.093353177129899,47.44798342082781
Austria,2,10.089841815189093,47.46101952949525
Austria,2,10.080883237597442,47.45597097520048
Austria,2,10.06498221923997,47.46424477559999
Austria,2,10.054402426350203,47.47653770460988
Austria,2,10.045032415795715,47.48824770845186
Austria,2,10.016668128564078,47.48543973066465
Austria,2,9.995356402089408,47.48686942951418
Austria,2,9.989876271876026,47.50635815223433
Austria,2,9.97838346492036,47.51415183899099
Austria,2,9.965534356633198,47.52152083915215
Austria,2,9.965558615852256,47.530741611084004
Austria,2,9.96741618199448,47.541955301313834
Austria,2,9.968331524195646,47.546962464938545
Austria,2,9.960832367543095,47.54208972634481
Austria,2,9.959214142710684,47.53514936594074
Austria,2,9.922185029016271,47.53026473061662
Austria,2,9.899591518892834,47.54538337690284
Austria,2,9.875376116620378,47.543866718941196
Austria,2,9.874153616137452,47.53420478447567
Austria,2,9.868771043836913,47.53266828917789
Austria,2,9.849453812503944,47.54260878919186
Austria,2,9.828399296972451,47.547271976955024
Austria,2,9.821356512216168,47.55562908531111
Austria,2,9.826084592320296,47.574421065345085
Austria,2,9.824092345121333,47.58774910368161
Austria,2,9.802604485462178,47.5965610655576
Austria,2,9.784430706577021,47.59539547904361
Austria,2,9.769620988653113,47.58802223185191
Austria,2,9.76367675472698,47.58707053446842
Austria,2,9.75662190075515,47.580354476425256
Austria,2,9.752327716112541,47.56812652996981
Austria,2,9.743666022991881,47.559397464493884
Austria,2,9.735480370979358,47.547317374983265
Austria,2,9.563217246679892,47.4954167457007
Austria,2,9.603569489630921,47.462861282962365
Austria,2,9.622557422618877,47.45810422108703
Austria,2,9.658236107615725,47.4484076986225
Austria,2,9.650585317995791,47.42149558673744
Austria,2,9.66033520728813,47.39815826115444
Austria,2,9.673389248843419,47.381675580515505
Austria,2,9.635615205864188,47.36797903034184
Austria,2,9.605298708436504,47.35189910488773
Austria,2,9.581774143930835,47.31172749971053
Austria,2,9.530952372466013,47.27118170195607
Austria,2,9.559705763126592,47.25106460922399
Austria,2,9.555643419832212,47.2243867807131
Austria,2,9.5687650959318,47.220383585949854
Austria,2,9.585102495919966,47.20593833463294
Austria,2,9.57333955225661,47.17617730774652
Austria,2,9.572963594118255,47.17012934886006
Austria,2,9.601125096327843,47.15940708511409
Austria,2,9.61418501238253,47.14811619630574
Austria,2,9.626066776422947,47.14647157852881
Austria,2,9.62493386988464,47.13320860892773
Austria,2,9.624858433551612,47.11514358178052
Austria,2,9.628705546369561,47.108125568776885
Austria,2,9.63591689819375,47.096817038455825
Austria,2,9.61889257006935,47.0787200349218
Austria,2,9.613649048445913,47.070068757514356
Austria,2,9.607280034709403,47.06134874192372
Austria,2,9.632900898665753,47.05182738836429
Austria,2,9.658447103088806,47.05875792453376
Austria,2,9.688427330703892,47.055801279543175
Austria,2,9.708815722561619,47.05223890752311
Austria,2,9.718450409956658,47.0439479386682
Austria,2,9.748320475452422,47.03749522463454
Austria,2,9.78516167740487,47.0390574138585
Austria,2,9.807814521965772,47.02413283986217
Austria,2,9.833788786085535,47.015087035842534
Austria,2,9.838395578969896,47.01351804583644
Austria,2,9.85721254412148,47.01937093798604
Austria,2,9.880607908836213,47.0177918122676
Austria,2,9.873512898434242,47.00691541878383
Austria,2,9.892562244786278,46.99092375755606
Austria,2,9.884805712982386,46.98141181059344
Austria,2,9.870985395850257,46.963771540823096
Austria,2,9.875132014499172,46.9509511796939
Austria,2,9.880960244570423,46.940671100405545
Austria,2,9.884660877058815,46.933576525048395
Austria,2,9.906577091164026,46.92585791244653
Austria,2,9.937485059087612,46.91386621008671
Austria,2,9.963374395811615,46.91295177707846
Austria,2,9.982047322935175,46.912472525349465
Austria,2,9.990375603983543,46.902960679470546
Austria,2,10.018087687902025,46.902166348006375
Austria,2,10.03244549451494,46.88854511422819
Austria,2,10.052204912710433,46.877290962435715
Austria,2,10.07520564145079,46.86248689082914
Austria,2,10.092930935075922,46.858593612408065
Austria,2,10.105716073586256,46.84139674624302
Austria,2,10.123365041217944,46.84902624685477
Austria,2,10.15486654353692,46.850862063395844
Austria,2,10.16934869673928,46.8512005793721
Austria,2,10.183784275784307,46.85954813739706
Austria,2,10.199304262735124,46.86716930905415
Austria,2,10.232961860033576,46.86683410591415
Austria,2,10.232250910294555,46.876333472148126
Austria,2,10.226014620897834,46.8964846612857
Austria,2,10.242311916954078,46.919375154415924
Austria,2,10.291335460455112,46.92380578996213
Austria,2,10.316360458097185,46.925723226754414
Austria,2,10.30888327613928,46.94399168771243
Austria,2,10.324849984957284,46.95272754676275
Austria,2,10.334824560490347,46.97306742714577
Austria,2,10.345094077540692,46.9836148843757
Austria,2,10.372359499667128,46.99121853696657
Austria,2,10.399022651680003,46.997427474726805
Austria,2,10.420808771232966,46.98053254432627
Austria,2,10.423272436980453,46.96612175892779
Austria,2,10.429240364030923,46.956623730181256
Austria,2,10.449467202388579,46.952857976249575
Austria,2,10.469137466744382,46.9476380310476
Austria,2,10.485610988096246,46.93198467188377
Austria,2,10.486532653574379,46.915994509765085
Austria,2,10.475494836938411,46.90167158645504
Austria,2,10.46954119222406,46.88163542080751
Austria,2,10.469962672269636,46.855441237527565
Austria,2,10.48144156262387,46.85584160508391
Austria,2,10.491395171860031,46.85277203671639
Austria,2,10.496674309893404,46.8506213214625
Austria,2,10.50529686522349,46.84882416447948
Austria,2,10.556688928648533,46.84739675772379
Austria,2,10.570561858580207,46.84282192250669
Austria,2,10.590461663396498,46.85084625604986
Austria,2,10.625145168939351,46.86506045596876
Austria,2,10.662936164124202,46.87478445565426
Austria,2,10.678445212976909,46.8712713383503
Austria,2,10.69709301424031,46.863142803083534
Austria,2,10.700831567333655,46.85100499007858
Austria,2,10.716180579509402,46.8436194488931
Austria,2,10.73715793653225,46.834947742322
Austria,2,10.763856102540908,46.82397824966666
Austria,2,10.751663758295463,46.81559297489775
Austria,2,10.726426038034713,46.79836672789058
Austria,2,10.75108944588719,46.787999870050044
Austria,2,10.762603259278675,46.7880068448424
Austria,2,10.786666049637603,46.796816584176575
Austria,2,10.814442780239768,46.77563410162899
Austria,2,10.83241482091209,46.78094532200687
Austria,2,10.84636515204737,46.778862323195554
Austria,2,10.868900110974069,46.76631982463503
Austria,2,10.890696055704158,46.764803560329725
Austria,2,10.91570664911715,46.774429729887686
Austria,2,10.944097615812797,46.77590642640756
Austria,2,10.981645904336958,46.770085732027916
Austria,2,10.993492170016106,46.7675125286944
Austria,2,11.022617219172329,46.76591719914074
