station_id,name,slug,state,lat,lon,altitude,valid_from,valid_to,retrieved
46,Krems,krems,Niederösterreich,48.41861,15.62222,202,1936-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
105,Wien Hohe Warte,wien,Wien,48.24861,16.35639,198,1775-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
32,Gumpoldskirchen,gumpoldskirchen,Niederösterreich,48.03583,16.28083,212,1948-05-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
116,Deutschlandsberg,deutschlandsberg,Steiermark,46.82167,15.22694,354,1895-08-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
2,Aigen im Ennstal,aigen,Steiermark,47.53278,14.13826,641,1939-03-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
89,Stift Zwettl,zwettl,Niederösterreich,48.61778,15.20361,502.4,1931-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
22,Eisenstadt Nordost,eisenstadt,Burgenland,47.85417,16.53833,184,1936-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,2026-09-03
